"2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - Starting ContactControllerIT on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:57:01 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@8b6035, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@a34e9f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16621e3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c05ea2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@891ba7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@40651f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@f7298d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1ff55ff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@11f2244, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@96c165, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1a8313b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3d65c]
""2017-01-18 11:57:01 [main] INFO  c.m.c.c.ContactResourceAssemblerTest - Starting ContactResourceAssemblerTest on aleksandrk with PID 608 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:57:01 [main] INFO  c.m.c.c.ContactResourceAssemblerTest - No active profile set, falling back to default profiles: default
""2017-01-18 11:57:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$9d698075] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:57:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$54574a57] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:57:07 [main] INFO  c.m.c.c.ContactResourceAssemblerTest - Started ContactResourceAssemblerTest in 6.203 seconds (JVM running for 23.986)
""2017-01-18 11:57:07 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance with id:1 and name: Test!
""2017-01-18 11:57:07 [main] INFO  c.m.c.controller.ContactController - Adding resource to contact
""2017-01-18 11:57:07 [main] INFO  c.m.c.controller.ContactController - Resource created with contact: Contact [id=1, name=Test]
""2017-01-18 11:57:07 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mental.contactbook.dao.impl.ContactDaoImplTest], using SpringBootContextLoader
""2017-01-18 11:57:07 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mental.contactbook.dao.impl.ContactDaoImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2017-01-18 11:57:07 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
